_id,en,ru,ru-bad,et,fi,uk,de
_name,English,Русский,Русский сквернословный,Eesti,Suomi,Українська,Deutsch
_default,,,ru,,,,
reborn,Restart,Начать заново,,Alusta uuesti,Aloita alusta,Почати спочатку,Neu starten
who_are_you,Who are you?,Ты кто такой?,,Kes sa oled?,Kuka sinä olet?,Хто ти такий?,Wer bist du?
whats_your_name,Enter your name,Введи своё имя,,Sisesta oma nimi,Syötä nimesi,Введи своє їм'я,Gib deinen Namen ein
name_placeholder,Enter your nickname,Мечислав Гриб,,Sisesta oma hüüdnimi,Syötä nimimerkkisi,Мечислав Гриб,Nicknamen eingeben
lock_in_choice,Confirm,Подтвердить,,Kinnita,Vahvista,Підтвердити,Bestätigen
confirm_name,Your name will look like this,Твоё имя будет выглядеть так,,Sinu nimi näeb välja selline,Nimesi näyttää tältä,Твоє їм'я буде виглядатиме так,Dein Name wird so aussehen
new_game,New Game,Новая игра,,Uus mäng,Uusi peli,Нова гра,Neues Spiel
create,Create,Создать,,Loo,Luo,Створити,Erstellen 
create_figure,Assembling the figure,Собираем фигуру,,Koostame kujundi,Kokoamme muodon,Збираємо фігуру,Wir setzen die Form zusammen
square,Squares,Квадраты,,Ruudud,Neliöt,Квадрати,Quadrate
line,Lines,Линии,,Jooned,Viivat,Лінії,Linien
cross,Crosses,Кресты,,Ristid,Ristit,Хрести,Kreuze
letter_t,The letter T,Букву Т,,Täht T,T-kirjain,Буква Т,Buchstabe T
collecting,Assembling,Собираем,,Paneme kokku,Kokoammen,Збираємо,Wir setzen zusammen
find_victim,Find a victim,Найти жертву,,Leia ohver,Etsi uhri,Знайти жертву,Finde ein Opfer
find,Find,Найти,,Otsi,Etsi,Знайти,Suchen
start_game,Let’s go,Погнали!,,Lähme!,Mennään!,Погнали!,Los geht’s!
find_opponent,Who dares challenge you?,Кто рискнёт бросить тебе вызов?,,Kes julgeb sind väljakutsuda?,Kuka uskaltaa haastaa sinut?,Хто наважиться кинути тобі виклик?,"Wer wagt es, dich herauszufordern?"
take_it_back,I’ve changed my mind,Я передумал,,Ma muutsin meelt,Muutin mieleni,Я передумав,Ich habe es mir anders überlegt
winner,You are the champion!,Вы чемпион!,,Sina oled meister!,Olet mestari!,Ви чемпіон!,Du bist der Champion!
loser,You lost :(,Вы продули :(,,Sa kaotasid :(,Hävisit :(,Ви програли :(,Du hast verloren :(
needs_polish,The figure is assembled incorrectly. Try again!,Фигура собрана неправильно. Переделывай!,"Поздравляю, вы собрали какую-то хрень.",Kujund on valesti koostatud. Proovi uuesti!,Kuvio on koottu väärin. Yritä uudestaan!,Фігура зібрана неправильно. Переробляй!,Die Form ist falsch zusammengesetzt. Versuch’s noch mal!
undo_move,Undo move,Отмена хода,,Tühista käik,Kumoa siirto,Скасування ходу,Zug rückgängig
quit,Leave,Уйти,,Välju,Poistu,Вийти,Verlassen
game_intro,Welcome to the game!,Добро пожаловать в игру!,,Tere tulemast mängu!,Tervetuloa peliin!,Ласкаво просимо в ігру!,Willkommen im Spiel!
figure_placeholder,Choose a figure,Выберите фигуру,,Vali kujund,Valitse muoto,Оберіть фігуру,Wähle eine Form
leads,Player’s turn,Ход игрока,,Mängija kord,Pelaajan vuoro,Хід гравця,Spieler am Zug 
save,Save,Сохранить,Salvesta,Tallenna,Зберегти,Speichern
current_figure,Current figure,Текущая фигура,Praegune kujund,Nykyinen kuvio,Aktuelle Form
